,Order ID,Order Date,CustomerName,State,City,Amount,Profit,Quantity,Category,Sub-Category
29,B-25610,09-04-2018,Yogesh,Bihar,Patna,107.0,-54.0,4,Clothing,Stole
30,B-25610,09-04-2018,Yogesh,Bihar,Patna,68.0,-55.0,5,Electronics,Accessories
31,B-25610,09-04-2018,Yogesh,Bihar,Patna,781.0,-594.0,6,Electronics,Printers
32,B-25610,09-04-2018,Yogesh,Bihar,Patna,43.0,0.0,3,Clothing,Saree
33,B-25610,09-04-2018,Yogesh,Bihar,Patna,30.0,-5.0,2,Furniture,Furnishings
34,B-25611,11-04-2018,Anita,Kerala ,Thiruvananthapuram,160.0,-59.0,2,Clothing,Saree
35,B-25612,12-04-2018,Shrichand,Punjab,Chandigarh,259.0,-55.0,2,Furniture,Chairs
36,B-25613,12-04-2018,Mukesh,Haryana,Chandigarh,1603.0,0.0,9,Clothing,Saree
37,B-25614,13-04-2018,Vandana,Himachal Pradesh,Simla,494.0,54.0,4,Furniture,Bookcases
38,B-25614,13-04-2018,Vandana,Himachal Pradesh,Simla,98.0,-12.0,2,Electronics,Electronic Games
39,B-25615,15-04-2018,Bhavna,Sikkim,Gangtok,68.0,20.0,5,Clothing,Hankerchief
40,B-25616,15-04-2018,Kanak,Goa,Goa,42.0,12.0,5,Clothing,Hankerchief
41,B-25616,15-04-2018,Kanak,Goa,Goa,116.0,-56.0,5,Clothing,Stole
42,B-25616,15-04-2018,Kanak,Goa,Goa,22.0,-2.0,3,Clothing,Hankerchief
43,B-25616,15-04-2018,Kanak,Goa,Goa,14.0,-2.0,3,Clothing,Hankerchief
44,B-25617,17-04-2018,Sagar,Nagaland,Kohima,305.0,-270.0,5,Electronics,Electronic Games
45,B-25618,18-04-2018,Manju,Andhra Pradesh,Hyderabad,362.0,127.0,1,Furniture,Bookcases
46,B-25618,18-04-2018,Manju,Andhra Pradesh,Hyderabad,12.0,0.0,2,Clothing,Hankerchief
47,B-25619,18-04-2018,Ramesh,Gujarat,Ahmedabad,353.0,90.0,8,Clothing,Saree
48,B-25620,20-04-2018,Sarita,Maharashtra,Pune,193.0,46.0,1,Electronics,Printers
49,B-25621,20-04-2018,Deepak,Madhya Pradesh,Bhopal,233.0,-10.0,5,Electronics,Electronic Games
50,B-25621,20-04-2018,Deepak,Madhya Pradesh,Bhopal,228.0,63.0,3,Electronics,Electronic Games
51,B-25621,20-04-2018,Deepak,Madhya Pradesh,Bhopal,333.0,-15.0,3,Electronics,Phones
52,B-25622,22-04-2018,Monisha,Rajasthan,Jaipur,534.0,0.0,3,Clothing,Saree
53,B-25623,22-04-2018,Atharv,West Bengal,Kolkata,53.0,1.0,4,Clothing,Stole
54,B-25623,22-04-2018,Atharv,West Bengal,Kolkata,158.0,69.0,3,Clothing,Stole
55,B-25623,22-04-2018,Atharv,West Bengal,Kolkata,149.0,-87.0,4,Clothing,Saree
56,B-25623,22-04-2018,Atharv,West Bengal,Kolkata,105.0,20.0,2,Clothing,Stole
57,B-25624,22-04-2018,Vini,Karnataka,Bangalore,26.0,12.0,3,Clothing,Hankerchief
58,B-25625,23-04-2018,Pinky,Jammu and Kashmir,Kashmir,97.0,29.0,2,Clothing,Hankerchief
59,B-25625,23-04-2018,Pinky,Jammu and Kashmir,Kashmir,59.0,30.0,3,Clothing,Leggings
60,B-25625,23-04-2018,Pinky,Jammu and Kashmir,Kashmir,635.0,-349.0,5,Clothing,Saree
61,B-25626,23-04-2018,Bhishm,Maharashtra,Mumbai,46.0,-14.0,1,Electronics,Phones
62,B-25626,23-04-2018,Bhishm,Maharashtra,Mumbai,1103.0,-276.0,3,Furniture,Chairs
63,B-25627,23-04-2018,Hitika,Madhya Pradesh,Indore,55.0,-39.0,4,Clothing,Stole
64,B-25628,24-04-2018,Pooja,Bihar,Patna,45.0,13.0,4,Clothing,Skirt
65,B-25628,24-04-2018,Pooja,Bihar,Patna,24.0,-9.0,4,Clothing,Saree
66,B-25628,24-04-2018,Pooja,Bihar,Patna,35.0,-8.0,2,Furniture,Furnishings
67,B-25629,24-04-2018,Hemant,Kerala ,Thiruvananthapuram,1560.0,421.0,3,Clothing,Trousers
68,B-25630,24-04-2018,Sahil,Punjab,Chandigarh,133.0,12.0,5,Clothing,Stole
69,B-25630,24-04-2018,Sahil,Punjab,Chandigarh,114.0,-39.0,5,Clothing,Kurti
70,B-25630,24-04-2018,Sahil,Punjab,Chandigarh,143.0,-129.0,2,Electronics,Phones
71,B-25630,24-04-2018,Sahil,Punjab,Chandigarh,40.0,-7.0,3,Clothing,Stole
72,B-25630,24-04-2018,Sahil,Punjab,Chandigarh,34.0,-22.0,4,Clothing,T-shirt
73,B-25630,24-04-2018,Sahil,Punjab,Chandigarh,42.0,-26.0,2,Clothing,Kurti
74,B-25631,24-04-2018,Ritu,Haryana,Chandigarh,89.0,-89.0,2,Furniture,Furnishings
75,B-25632,25-04-2018,Manish,Himachal Pradesh,Simla,19.0,-2.0,2,Clothing,Leggings
76,B-25633,26-04-2018,Amit,Sikkim,Gangtok,249.0,-130.0,4,Electronics,Phones
77,B-25633,26-04-2018,Amit,Sikkim,Gangtok,711.0,-8.0,4,Clothing,Saree
78,B-25633,26-04-2018,Amit,Sikkim,Gangtok,496.0,-79.0,2,Clothing,Trousers
79,B-25634,26-04-2018,Sanjay,Goa,Goa,389.0,-83.0,3,Furniture,Chairs
80,B-25635,26-04-2018,Nidhi,Nagaland,Kohima,40.0,16.0,3,Clothing,Hankerchief
81,B-25635,26-04-2018,Nidhi,Nagaland,Kohima,23.0,2.0,2,Clothing,Skirt
82,B-25635,26-04-2018,Nidhi,Nagaland,Kohima,382.0,30.0,3,Clothing,Saree
83,B-25636,26-04-2018,Nishi,Maharashtra,Mumbai,637.0,113.0,5,Clothing,Saree
84,B-25637,26-04-2018,Ashmi,Madhya Pradesh,Indore,117.0,14.0,3,Clothing,Shirt
85,B-25638,26-04-2018,Parth,Maharashtra,Pune,182.0,-11.0,3,Furniture,Bookcases
86,B-25638,26-04-2018,Parth,Maharashtra,Pune,880.0,97.0,8,Furniture,Furnishings
87,B-25638,26-04-2018,Parth,Maharashtra,Pune,154.0,39.0,3,Clothing,Hankerchief
88,B-25638,26-04-2018,Parth,Maharashtra,Pune,816.0,-96.0,3,Electronics,Printers
89,B-25639,27-04-2018,Lisha,Madhya Pradesh,Bhopal,1629.0,-153.0,3,Electronics,Phones
90,B-25640,27-04-2018,Paridhi,Rajasthan,Jaipur,68.0,-62.0,2,Clothing,Trousers
91,B-25640,27-04-2018,Paridhi,Rajasthan,Jaipur,314.0,-239.0,13,Clothing,Hankerchief
92,B-25640,27-04-2018,Paridhi,Rajasthan,Jaipur,122.0,-47.0,4,Clothing,Saree
93,B-25641,27-04-2018,Parishi,West Bengal,Kolkata,22.0,-6.0,1,Furniture,Furnishings
94,B-25642,28-04-2018,Ajay,Karnataka,Bangalore,434.0,26.0,11,Clothing,Shirt
95,B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,1061.0,-36.0,8,Furniture,Bookcases
96,B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,50.0,-44.0,2,Clothing,Hankerchief
97,B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,37.0,-23.0,4,Clothing,Shirt
98,B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,263.0,-63.0,2,Electronics,Electronic Games
99,B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,36.0,-7.0,1,Electronics,Electronic Games
100,B-25644,30-04-2018,Mayank,Maharashtra,Mumbai,76.0,-92.0,8,Furniture,Furnishings
101,B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,273.0,-87.0,4,Electronics,Phones
102,B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,86.0,0.0,4,Clothing,T-shirt
103,B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,133.0,-42.0,1,Electronics,Printers
104,B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,183.0,-66.0,5,Electronics,Phones
105,B-25646,01-05-2018,Sonal,Bihar,Patna,20.0,-8.0,2,Clothing,Saree
106,B-25647,03-05-2018,Sharda,Kerala ,Thiruvananthapuram,42.0,-6.0,4,Clothing,Saree
107,B-25648,04-05-2018,Aditya,Punjab,Chandigarh,100.0,-23.0,1,Electronics,Phones
108,B-25648,04-05-2018,Aditya,Punjab,Chandigarh,30.0,13.0,1,Clothing,T-shirt
109,B-25648,04-05-2018,Aditya,Punjab,Chandigarh,55.0,-26.0,4,Clothing,Saree
110,B-25648,04-05-2018,Aditya,Punjab,Chandigarh,130.0,-41.0,4,Clothing,Saree
111,B-25649,05-05-2018,Rachna,Haryana,Chandigarh,27.0,-25.0,2,Clothing,Stole
112,B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,245.0,-78.0,2,Electronics,Printers
113,B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,211.0,-105.0,2,Clothing,Saree
114,B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,31.0,-2.0,2,Clothing,Saree
115,B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,28.0,-26.0,2,Clothing,Stole
116,B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,512.0,-225.0,5,Clothing,Saree
117,B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,925.0,-447.0,5,Electronics,Electronic Games
118,B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,238.0,20.0,2,Clothing,Saree
119,B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,351.0,-47.0,8,Electronics,Phones
120,B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,269.0,111.0,3,Clothing,Trousers
121,B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,200.0,-60.0,4,Furniture,Bookcases
122,B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,44.0,-8.0,3,Clothing,Stole
123,B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,7.0,0.0,1,Clothing,Leggings
124,B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,11.0,-4.0,2,Clothing,Skirt
125,B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,16.0,-10.0,2,Clothing,T-shirt
126,B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,172.0,-103.0,3,Furniture,Chairs
127,B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,49.0,3.0,1,Clothing,Shirt
128,B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,823.0,-18.0,7,Furniture,Chairs
129,B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,23.0,4.0,1,Clothing,Saree
130,B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,457.0,-41.0,4,Clothing,Saree
131,B-25652,08-05-2018,Tushina,Goa,Goa,24.0,-21.0,7,Clothing,Skirt
132,B-25652,08-05-2018,Tushina,Goa,Goa,25.0,-2.0,5,Clothing,Hankerchief
133,B-25652,08-05-2018,Tushina,Goa,Goa,174.0,-70.0,3,Electronics,Accessories
134,B-25652,08-05-2018,Tushina,Goa,Goa,206.0,-206.0,3,Clothing,Saree
135,B-25652,08-05-2018,Tushina,Goa,Goa,21.0,-13.0,3,Clothing,Leggings
136,B-25652,08-05-2018,Tushina,Goa,Goa,34.0,-6.0,4,Clothing,Leggings
137,B-25652,08-05-2018,Tushina,Goa,Goa,9.0,-6.0,2,Clothing,Hankerchief
138,B-25653,08-05-2018,Farah,Nagaland,Kohima,1279.0,-640.0,8,Electronics,Printers
139,B-25653,08-05-2018,Farah,Nagaland,Kohima,28.0,-3.0,2,Clothing,Saree
140,B-25653,08-05-2018,Farah,Nagaland,Kohima,427.0,-50.0,7,Electronics,Phones
141,B-25653,08-05-2018,Farah,Nagaland,Kohima,168.0,-10.0,3,Electronics,Accessories
142,B-25653,08-05-2018,Farah,Nagaland,Kohima,1327.0,318.0,8,Furniture,Chairs
143,B-25653,08-05-2018,Farah,Nagaland,Kohima,195.0,-117.0,5,Electronics,Phones
144,B-25653,08-05-2018,Farah,Nagaland,Kohima,115.0,25.0,1,Electronics,Accessories
145,B-25653,08-05-2018,Farah,Nagaland,Kohima,668.0,-31.0,3,Electronics,Printers
146,B-25653,08-05-2018,Farah,Nagaland,Kohima,227.0,102.0,8,Electronics,Accessories
147,B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,34.0,12.0,3,Clothing,Hankerchief
148,B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,229.0,-23.0,2,Clothing,Saree
149,B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,54.0,-3.0,3,Clothing,Saree
150,B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,269.0,-86.0,2,Electronics,Electronic Games
151,B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,122.0,-21.0,3,Furniture,Furnishings
152,B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,105.0,46.0,2,Clothing,Stole
153,B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,450.0,-90.0,3,Electronics,Printers
154,B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,121.0,-17.0,3,Furniture,Furnishings
155,B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,44.0,-26.0,3,Clothing,Hankerchief
156,B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,7.0,-4.0,3,Clothing,Hankerchief
157,B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,396.0,-31.0,9,Clothing,Saree
158,B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,97.0,-62.0,2,Clothing,Trousers
159,B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,110.0,-68.0,4,Clothing,Saree
160,B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,312.0,-312.0,7,Furniture,Chairs
161,B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,9.0,-6.0,2,Clothing,Skirt
162,B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,6.0,-3.0,1,Clothing,Hankerchief
163,B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,74.0,23.0,8,Clothing,Skirt
164,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,534.0,0.0,3,Clothing,Saree
165,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,30.0,-5.0,5,Clothing,Stole
166,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,61.0,-23.0,2,Clothing,Saree
167,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,6.0,3.0,1,Clothing,Hankerchief
168,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,24.0,-1.0,2,Clothing,Hankerchief
169,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,56.0,18.0,2,Clothing,Hankerchief
170,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,406.0,126.0,2,Clothing,Saree
171,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,624.0,37.0,2,Electronics,Electronic Games
172,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,101.0,18.0,9,Clothing,Skirt
173,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,1389.0,680.0,7,Clothing,Saree
174,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,651.0,169.0,5,Electronics,Printers
175,B-25656,11-05-2018,Priyanka,Maharashtra,Pune,13.0,-1.0,3,Clothing,Hankerchief
176,B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,1021.0,-48.0,4,Electronics,Electronic Games
177,B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,32.0,-22.0,5,Clothing,Saree
178,B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,332.0,-43.0,6,Electronics,Phones
179,B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,288.0,-180.0,4,Furniture,Chairs
180,B-25658,14-05-2018,Shefali,Rajasthan,Jaipur,27.0,9.0,2,Clothing,T-shirt
181,B-25659,15-05-2018,Sanskriti,West Bengal,Kolkata,148.0,72.0,7,Clothing,T-shirt
182,B-25660,16-05-2018,Shruti,Karnataka,Bangalore,245.0,-78.0,3,Clothing,Saree
183,B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,19.0,-15.0,3,Clothing,Hankerchief
184,B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,224.0,-81.0,3,Furniture,Chairs
185,B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,58.0,-42.0,2,Furniture,Chairs
186,B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,145.0,-104.0,5,Furniture,Chairs
187,B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,55.0,-33.0,2,Furniture,Chairs
188,B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,7.0,-1.0,2,Clothing,Hankerchief
189,B-25662,17-05-2018,Sweta,Maharashtra,Mumbai,24.0,-2.0,2,Clothing,T-shirt
190,B-25662,17-05-2018,Sweta,Maharashtra,Mumbai,86.0,-21.0,1,Electronics,Electronic Games
191,B-25662,17-05-2018,Sweta,Maharashtra,Mumbai,385.0,-77.0,11,Furniture,Furnishings
192,B-25663,19-05-2018,Pournamasi,Madhya Pradesh,Indore,294.0,138.0,2,Electronics,Printers
193,B-25664,20-05-2018,Pratyusmita,Bihar,Patna,444.0,-200.0,4,Electronics,Phones
194,B-25664,20-05-2018,Pratyusmita,Bihar,Patna,785.0,52.0,2,Electronics,Phones
195,B-25664,20-05-2018,Pratyusmita,Bihar,Patna,258.0,-27.0,2,Electronics,Phones
196,B-25664,20-05-2018,Pratyusmita,Bihar,Patna,83.0,-48.0,1,Furniture,Bookcases
197,B-25665,21-05-2018,Chayanika,Kerala ,Thiruvananthapuram,166.0,-113.0,4,Electronics,Accessories
198,B-25666,22-05-2018,Tanvi,Punjab,Chandigarh,934.0,-916.0,7,Electronics,Electronic Games
199,B-25667,23-05-2018,Anjali,Haryana,Chandigarh,11.0,-2.0,4,Clothing,Hankerchief
200,B-25667,23-05-2018,Anjali,Haryana,Chandigarh,41.0,6.0,5,Clothing,Skirt
201,B-25667,23-05-2018,Anjali,Haryana,Chandigarh,344.0,-34.0,3,Clothing,Saree
202,B-25667,23-05-2018,Anjali,Haryana,Chandigarh,1030.0,206.0,8,Electronics,Printers
203,B-25667,23-05-2018,Anjali,Haryana,Chandigarh,516.0,69.0,4,Furniture,Bookcases
204,B-25668,24-05-2018,Rhea,Himachal Pradesh,Simla,123.0,17.0,3,Furniture,Furnishings
205,B-25669,25-05-2018,Piyali,Sikkim,Gangtok,610.0,-66.0,2,Furniture,Tables
206,B-25670,25-05-2018,Charika,Goa,Goa,74.0,29.0,3,Clothing,Stole
207,B-25670,25-05-2018,Charika,Goa,Goa,24.0,1.0,2,Clothing,Hankerchief
208,B-25670,25-05-2018,Charika,Goa,Goa,14.0,2.0,1,Clothing,Hankerchief
209,B-25670,25-05-2018,Charika,Goa,Goa,656.0,-36.0,2,Furniture,Bookcases
210,B-25671,27-05-2018,Mitali,Nagaland,Kohima,832.0,0.0,3,Clothing,Trousers
211,B-25672,28-05-2018,Akanksha,Andhra Pradesh,Hyderabad,27.0,-15.0,1,Clothing,Stole
212,B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,143.0,-124.0,5,Clothing,Saree
213,B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,44.0,-17.0,5,Clothing,Saree
214,B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,45.0,-2.0,4,Clothing,Shirt
215,B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,16.0,-1.0,1,Clothing,Saree
216,B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,37.0,-5.0,3,Clothing,T-shirt
217,B-25674,28-05-2018,Mahima,Maharashtra,Pune,17.0,-12.0,5,Clothing,Skirt
218,B-25675,31-05-2018,Shreya,Madhya Pradesh,Bhopal,929.0,-93.0,9,Clothing,Saree
219,B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,342.0,-103.0,4,Electronics,Electronic Games
220,B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,1263.0,-56.0,5,Clothing,Trousers
221,B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,674.0,-187.0,2,Furniture,Tables
222,B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,32.0,6.0,3,Clothing,Shirt
223,B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,79.0,36.0,4,Clothing,Shirt
224,B-25677,02-06-2018,Ekta,West Bengal,Kolkata,20.0,-2.0,1,Electronics,Accessories
225,B-25678,03-06-2018,Bathina,Karnataka,Bangalore,64.0,-7.0,3,Clothing,Saree
226,B-25678,03-06-2018,Bathina,Karnataka,Bangalore,7.0,-3.0,2,Clothing,Skirt
227,B-25678,03-06-2018,Bathina,Karnataka,Bangalore,327.0,-39.0,1,Electronics,Phones
228,B-25678,03-06-2018,Bathina,Karnataka,Bangalore,27.0,-25.0,2,Clothing,Shirt
229,B-25679,04-06-2018,Avni,Maharashtra,Mumbai,76.0,-50.0,1,Clothing,Saree
230,B-25680,04-06-2018,Aayushi,Madhya Pradesh,Indore,73.0,-25.0,3,Clothing,Saree
231,B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,68.0,-27.0,3,Electronics,Accessories
232,B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,523.0,204.0,7,Clothing,Trousers
233,B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,44.0,-3.0,1,Clothing,Saree
234,B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,243.0,-14.0,2,Furniture,Chairs
235,B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,1625.0,-77.0,3,Electronics,Phones
236,B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,1096.0,-658.0,7,Electronics,Electronic Games
237,B-25682,07-06-2018,Krutika,Bihar,Patna,545.0,-73.0,11,Electronics,Phones
238,B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,433.0,26.0,3,Electronics,Printers
239,B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,245.0,-3.0,4,Electronics,Phones
240,B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,155.0,56.0,3,Furniture,Furnishings
241,B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,148.0,52.0,5,Clothing,Stole
242,B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,86.0,-55.0,6,Clothing,Saree
243,B-25684,09-06-2018,Samiksha,Maharashtra,Mumbai,134.0,42.0,2,Furniture,Chairs
244,B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,51.0,7.0,2,Furniture,Furnishings
245,B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,529.0,137.0,3,Electronics,Phones
246,B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,264.0,-30.0,3,Furniture,Furnishings
247,B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,45.0,-2.0,4,Clothing,Shirt
248,B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla,381.0,-13.0,2,Clothing,Saree
249,B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla,332.0,-503.0,3,Electronics,Printers
250,B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla,1829.0,-56.0,6,Furniture,Tables
251,B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,17.0,6.0,1,Clothing,Stole
252,B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,357.0,139.0,2,Clothing,Saree
253,B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,51.0,21.0,3,Clothing,T-shirt
254,B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,387.0,-213.0,5,Clothing,Saree
255,B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,14.0,-1.0,4,Clothing,Kurti
256,B-25688,11-06-2018,Swetha,Madhya Pradesh,Indore,352.0,-345.0,5,Clothing,Saree
257,B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai,469.0,-459.0,3,Electronics,Electronic Games
258,B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai,97.0,17.0,2,Clothing,Stole
259,B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai,149.0,36.0,3,Clothing,Stole
260,B-25690,15-06-2018,Gunjan,Madhya Pradesh,Indore,31.0,10.0,3,Clothing,Skirt
261,B-25691,16-06-2018,Akancha,Maharashtra,Mumbai,714.0,56.0,4,Clothing,Saree
